,Item Number,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition,Seller Note,Price
2542,85264983410,Dell,Intel Core i5-4300Y,10.8 in,Black,8 GB,Not available,Intel,1.60 GHz,Notebook/Laptop/Tablet,1920 x 1080,not available,Not Included,8 gb,SSD,"Built-in Camera (Front & Rear), SD Card Reader, Built-in Microphone, Touchscreen",For parts,"“Sold for Part/Repair - Touchscreen Dell Venue 11 Pro 7139 Tablet 10.8"" Intel i5-4300Y @1.60GHz, 8GB ...  Read moreabout the seller notes“Sold for Part/Repair - Touchscreen Dell Venue 11 Pro 7139 Tablet 10.8"" Intel i5-4300Y @1.60GHz, 8GB Memory. NOT include SSD HDD, Battery, Back body cover, WiFi card. Include what you saw from photo, and screen in clean condition. Tablet power up and boot to BiOS, not further testing.” Read Lessabout the seller notes ",$31.95 
2543,85264983411,Dell,Intel Core i5 1st Gen.,13.3 in,Silver,4 GB,Not available,Intel,2.67 GHz,Notebook/Laptop,1366 x 768,dell,windows xp,250 gb,HDD,"10/100 LAN Card, Wi-Fi",Used,“Working laptops that were retired from a corporate environment and refurbished by our trained ...  Read moreabout the seller notes“Working laptops that were retired from a corporate environment and refurbished by our trained technicians!” Read Lessabout the seller notes ,$74.99 
2544,85264983412,Lenovo,Intel Core i5 8th Gen.,14 in,Black,16 GB,256 gb,Intel,1.6 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 pro,256 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi",Used,"“Dead pixel on the screen. Light scratches and scuffs on the exterior of the unit, Light keyboard ...  Read moreabout the seller notes“Dead pixel on the screen. Light scratches and scuffs on the exterior of the unit, Light keyboard marks on the screen that are not visible during use, keyboard is in good condition.” Read Lessabout the seller notes ",$189.00 
2550,85264983418,Acer,Intel Core i3 11th Gen.,15.6 in,Silver,4 GB,128 gb,Intel,4.10 GHz,Notebook/Laptop,1920 x 1080,acer,windows 11 home,128 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard",Not Available,No note from seller,$248.95 
2558,85264983426,Dell,Intel Core i7 11th Gen.,14 in,Black,16 GB,256 gb,Intel,1.80 GHz,Notebook,1920 x 1080,latitude,windows 11 pro,256 gb,SSD,Rugged,Very Good,“There are minor blemishes on the base of the unit. The laptop is manufacturer refurbished directly ...  Read moreabout the seller notes“There are minor blemishes on the base of the unit. The laptop is manufacturer refurbished directly from Dell with a fully transferrable warranty.” Read Lessabout the seller notes ,"$1,329.99 "
2559,85264983427,Dell,Intel Core i3 12th Gen.,14 in,Black,8 GB,256 gb,Intel,3.30 GHz,Tablet,1920 x 1200,latitude,windows 11 pro,256 gb,SSD,Rugged,Excellent,“The tablet is manufacturer refurbished directly from Dell with a fully transferrable warranty.”,"$1,049.99 "
2561,85264983429,Dell,Intel Celeron,11.6 in,Black,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,dell,windows 10,128 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",Used,"“Good Condition. Renewed Dell Touchscreen Laptop w/ 90-Day Warranty. May show signs of normal wear, ...  Read moreabout the seller notes“Good Condition. Renewed Dell Touchscreen Laptop w/ 90-Day Warranty. May show signs of normal wear, light scratches, scuffs, etc.” Read Lessabout the seller notes ",$139.99 
2568,85264983436,Microsoft,Microsoft SQ2,13 in,Black,16 GB,256 gb,Qualcomm,1.80 GHz,Notebook/Laptop,2880 x 1920,microsoft,windows 11 home,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  LTE,  Touchscreen,  Wi-Fi",Used,No note from seller,$509.99 
2569,85264983437,Lenovo,Intel Core i7 8th Gen.,13 in,Black,16 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,3000 x 2000,lenovo,windows 11 pro,256 gb,SSD,LTE,Excellent,"“Includes AC adapter, pen and keyboard.”",$419.99 
2573,85264983441,Dell,Intel Core i5 11th Gen.,15.6 in,Black,16 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$399.99 
2575,85264983443,Acer,Intel Core i5 11th Gen.,15.6 in,Black,16 GB,512 gb,NVIDIA,2.70 GHz,Notebook/Laptop,1920 x 1080,acer,windows 11 home,512 gb,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Wi-Fi",New,No note from seller,$629.00 
2578,85264983446,Lenovo,Intel Core i5 11th Gen.,13.5 in,Silver,16 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,2256 x 1504,lenovo,windows 10 pro,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Backlit Keyboard",Not Available,No note from seller,$549.99 
2579,85264983447,Dell,Intel Core i7 11th Gen.,14 in,Gray,16 GB,256 gb,Intel,3.00 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,256 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,"“The system is fully functional. The screen cover is in good condition. The screen is in good ...  Read moreabout the seller notes“The system is fully functional. The screen cover is in good condition. The screen is in good condition. The keyboard is in good condition. The laptop has been tested and works as intended. The bottom case is in good condition. This unit has a warranty until DEC 2024. Items in similar conditions will come. The laptop comes with Windows 11 Pro, an Intel i7-1185G7 3.00GHz processor, 16GB DDR4 RAM, 256GB M.2 NVMe SSD, a 14"" screen with 1920x1080 resolution, and Iris Xe Graphics. Comes with an AC. Please see the pictures for more information.” Read Lessabout the seller notes ",$349.99 
2584,85264983452,Acer,Intel Celeron,11.6 in,Black,4 GB,32 gb,Intel,1.60 GHz,Laptop,1366 x 768,chromebook,Chrome OS,32 gb,SSD,"Touchscreen, Bluetooth",Used,“Used in good condition”,$57.99 
2585,85264983453,HP,Intel Core i5 10th Gen.,14 in,Silver,16 GB,256 gb,Intel,1.70 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10 pro,256 gb,SSD,Convertible 2-in-1 Laptop/Tablet,Not Available,No note from seller,$548.00 
2586,85264983454,HP,Intel Core i7 8th Gen.,17.3 in,Silver,64 GB,512 gb,NVIDIA,2.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10 pro,512 gb,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi",Used,No note from seller,$524.95 
2591,85264983459,Lenovo,Intel Core i5 8th Gen.,14 in,Black,8 GB,256 gb,Intel,1.70 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 10 pro,256 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Webcam, Touch ID, Wi-Fi",Used,“Used Very good condition. Windows 10 pro installed and ready to go. Comes with a power adapter.”,$189.99 
2596,85264983464,Dell,Intel Core i7 9th Gen.,17.3 in,Silver,32 GB,512 gb,NVIDIA,2.40 GHz,Notebook/Laptop,1920 x 1080,precision,windows 10 pro,32 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",Used,No note from seller,$649.99 
2600,85264983468,Lenovo,Intel Celeron,11.6 in,Black,4 GB,16 gb,Intel,1.83 GHz,Notebook/Laptop,1366 x 768,lenovo,Chrome OS,16 gb,eMMC,Touchscreen,Used,“ENGRAVING ON THE LID - FAIR CONDITION OTHERWISE - SEE PHOTOS”,$35.00 
2603,85264983471,Dell,Intel Core i5 6th Gen.,14 in,Black,8 GB,128 gb,Intel,2.40 GHz,Notebook/Laptop,1366 x 768,dell,windows 10 pro,128 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Multi-Touch Trackpad, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$10.99 
2604,85264983472,HP,Intel Celeron,11.6 in,Black,4 GB,16 gb,Intel,2.16 GHz,Chromebook,1366 x 768,hp,Chrome OS,16 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam",Used,No note from seller,$37.95 
2606,85264983474,Dell,i7-7820HQ,15.6 in,Silver,8 GB/16 GB/32 GB/64 GB,2 tb,NVIDIA,3.90 GHz,Ultrabook,1920 x 1080,dell,windows 11 pro,2 tb,NVMe,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  FHD 1080P,  Nvidia Quadro M1200",Used,“Condition is based on the storage options selected. Please read the full item description for ...  Read moreabout the seller notes“Condition is based on the storage options selected. Please read the full item description for details before purchase.” Read Lessabout the seller notes ,$324.99 to $799.99
2608,85264983476,Lenovo,Intel Core i7 12th Gen.,16.0 in,Gray,16 GB,512 gb,Intel,4.70 GHz,Notebook/Laptop,2560 x 1600,not available,windows 11,512 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Touchscreen,  Wi-Fi,  Fingerprint Reader,  Webcam Kill Switch",Used,"“This laptop has been ""CERTIFIED FACTORY REFURBISHED"" by LENOVO direct (not by 3rd party) to BRAND ...  Read moreabout the seller notes“This laptop has been ""CERTIFIED FACTORY REFURBISHED"" by LENOVO direct (not by 3rd party) to BRAND NEW condition and is backed by a Lenovo Factory Warranty. Looks just ""Like New"" Sealed in a LENOVO box. LENOVO warranty card. All original accessories included! You wont see a difference. SAVE BIG!!!” Read Lessabout the seller notes ",$616.40 
2611,85264983479,Dell,core i5 8th gen,14 in,Black,32 GB,500 gb,Intel,1.90 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,500 gb,SSD,Wi-Fi,Excellent,No note from seller,$279.99 
2614,85264983482,Dell,Intel Core i7 7th Gen.,"14"" HD Matte Display",Black,64 GB,2 tb,Intel,3.90 GHz,Ultrabook,1920 x 1080,dell,windows 10,2 tb,SSD,"100/1000GB LAN Card, Dell Docking Station Port, 802.11ac Wi-Fi, Bluetooth 4.2, HD Matte 14"" Display, 10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Excellent,No note from seller,$239.95 to $909.95
2615,85264983483,Dell,Intel Celeron,11.6 in,Unknown,4 GB,16 gb,Intel,2.16 GHz,Notebook/Laptop,1366 x 768,dell,Chrome OS,16 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam",Used,““Professionally refurbished in excellent working condition. Light scratches/scruffs. Comes with ...  Read moreabout the seller notes““Professionally refurbished in excellent working condition. Light scratches/scruffs. Comes with original dell charger and (90 days warranty)” Choice to choose color cover” Read Lessabout the seller notes ,$96.99 
2617,85264983485,HP,Intel Core i7 13th Gen.,17.3 in,Silver,64 GB,4 tb,Intel,1.70 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 pro,1 tb,HDD/SSD,"Bluetooth, Built-in Microphone, Built-in Webcam",New,No note from seller,"$780.00 to $1,280.00"
2625,85264983493,Samsung,Intel Core i5 10th Gen.,13.3 in,Red,8 GB,256 gb,Intel,1.60 GHz,Notebook/Laptop,3840 x 2160,samsung,Chrome OS,256 gb,SSD,"Bluetooth,  Stylus,  Touchscreen,  Wi-Fi",Used,No note from seller,$349.99 
2635,85264983503,Acer,Intel Core i5 11th Gen.,15.6 in,Black,16 GB,512 gb,NVIDIA,2.70 GHz,Notebook/Laptop,1920 x 1080,acer,windows 11 home,512 gb,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",New,No note from seller,$629.00 
2637,85264983505,Dell,Intel Celeron,11.6 in,Black,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,dell,windows 10,128 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",Used,"“Good Condition. Renewed Dell Touchscreen Laptop w/ 90-Day Warranty. May show signs of normal wear, ...  Read moreabout the seller notes“Good Condition. Renewed Dell Touchscreen Laptop w/ 90-Day Warranty. May show signs of normal wear, light scratches, scuffs, etc.” Read Lessabout the seller notes ",$139.99 
2640,85264983508,Gateway,Intel Pentium,15.6 in,Black,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,samsung,Chrome OS,128 gb,eMMC,"Touchscreen, Built-in Webcam, Bluetooth, Built-in Microphone",Not Available,No note from seller,$139.99 
2646,85264983514,Dell,Intel Core i7 13th Gen.,14 in,Silver,16 GB,512 gb,Intel,3.90 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,512 gb,SSD,"Bluetooth,  Built-in Webcam,  Wi-Fi,  Multi-Touch Trackpad,  Backlit Keyboard,  Built-in Microphone",New,No note from seller,$825.00 
2649,85264983517,Lenovo,Intel Core i5 11th Gen.,13.5 in,Silver,16 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,2256 x 1504,lenovo,windows 10 pro,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Backlit Keyboard",Not Available,No note from seller,$549.99 
2651,85264983519,Microsoft,Intel Core i5 10th Gen.,13.5 in,Silver,8 GB,256 gb,Intel,1.50 GHz,Notebook/Laptop,2256 x 1504,microsoft,windows 10 pro,256 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen",Used,“Extremely Clean. No Scratches. See Photos & Description”,$259.84 
2655,85264983523,Lenovo,AMD Ryzen 7 Pro 3700U,14 in,Black,16 GB,512 gb,AMD,2.30 GHz,Notebook/Laptop,1920 x 1080,thinkpad,windows 11 pro,16 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"“Professionally Tested working. The unit shows minor cosmetic signs of wear and tear (scratches, ...  Read moreabout the seller notes“Professionally Tested working. The unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). Include an Original AC adapter. Model” Read Lessabout the seller notes ",$299.00 
2664,85264983532,Dell,Intel Core i5 vPro 8th Gen,14 in,Black,32 GB,1 tb,Intel,1.70 GHz,Notebook/Laptop,1366 x 768,dell,windows 10 pro,1 tb,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Force Touch Trackpad,  Multi-Touch Trackpad,  Touch ID,  Widescreen Display,  Wi-Fi",Used,"“Dell Latitude 7490 Laptop in excellent working and cosmetic used condition as seen from the ...  Read moreabout the seller notes“Dell Latitude 7490 Laptop in excellent working and cosmetic used condition as seen from the pictures. Item has minor scuffs, marks and scratches on the surface from previous use. No dead pixels or scratches on the monitor (LCD) display. Comes preloaded with a genuine copy of Microsoft Win 10 Pro 64-bit Operating System and ready to go! With 1TB SSD of storage and 32GB RAM, you definitely have sufficient work power! The Battery is in excellent condition and hold charge at around 99% and comes with the original dell 65 Watts power charger. Best bargain on eBay not to miss!” Read Lessabout the seller notes ",$245.00 
2670,85264983538,Dell,Intel Core i5 12th Gen.,15.6 in,Black,16 GB,512 gb,Intel,2.00 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 home,512 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard",Not Available,No note from seller,$479.00 
2673,85264983541,Dell,Intel Core i7 8th Gen.,15.6 in,Silver,32 GB,512 gb,NVIDIA,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,Not Included,512 gb,SSD,"Backlit Keyboard, Built-in Webcam, Wi-Fi",Used,“Good used condition - wear from normal use. AC Adapter (Power Cord) included.”,$388.00 
2676,85264983544,CHUWI,Intel Core i5 8th Gen.,14 in,Gray,8 GB,"1 ,  1   1 tb",Intel,3.80 GHz,Notebook/Laptop,2160 x 1440,corebook,windows 10,512 gb,SSD,"Backlit Keyboard,  Built-in Microphone,  Built-in Webcam",New,No note from seller,$299.99 to $309.99
2677,85264983545,HP,Intel Celeron N,11.6 in,Gray/Black,4 GB,16 gb,Intel,2.16 GHz,Notebook/Laptop,1366 x 768,hp,Chrome OS,16 gb,eMMC,"WiFi,  Headphone Mic Combo Jack,  Bluetooth,  Built-in Webcam",Used,"“Great Condition. Each unit has been professionally refurbished and is in full functioning ...  Read moreabout the seller notes“Great Condition. Each unit has been professionally refurbished and is in full functioning condition. The device has also been cleaned and tested by our in-house computer technicians. May have some scratching on the top or bottom, screens are in good condition.” Read Lessabout the seller notes ",$85.00 
2679,85264983547,HP,Intel Celeron N,14 in,White,4 GB,64 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,not available,windows 11 home,64 gb,eMMC,Touchscreen,Used,No note from seller,$110.95 
2682,85264983550,HP,Intel Core i7,15.6 in,Silver,8 GB,256 gb,NVIDIA,2.20 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 home,256 gb,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Touch Bar, Wi-Fi",Used,"“Completely refur with new O/S load, tested, and complete with new ac power adapter”",$135.00 
2687,85264983555,Getac,Intel Core i7 6th Gen.,11.6 in,Unknown,16 GB,256 gb,Intel,2.50 GHz,Tablet,1366 x 768,not available,windows 7,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Rugged,  Stylus,  Touchscreen,  Wi-Fi",Used,No note from seller,$289.99 
2688,85264983556,HP,Intel Core i7 10th Gen.,14 in,Unknown,32 GB,1 tb,NVIDIA,1.80 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11,1 tb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi,  IR Camera for Hello Windows Feature,  Fingerprint Reader,  Bang & Olufsen Audio,  Stereo Speakers,  Smart Card Reader,  720p Webcam,  Full HD WLED backlight Display",Used,"“HP ZBook Firefly 14 G7 Mobile Workstation. Excellent Laptop, Intel Core i7-10th Gen, 1TB NVME SSD, ...  Read moreabout the seller notes“HP ZBook Firefly 14 G7 Mobile Workstation. Excellent Laptop, Intel Core i7-10th Gen, 1TB NVME SSD, 32 GB RAM and 14-inch FHD Touchscreen. It's in excellent condition laptop. Top casing (lid) and  Bottom base show light signs of use. Screen, Keyboard, Palmrest, Touchpad are in excellent condition. Battery is in good condition and holds charge. Genuine HP charger is included” Read Lessabout the seller notes ",$395.00 
2694,85264983562,HP,AMD Ryzen 7 7840HS,16.1 in,Black,16 GB,512 gb,NVIDIA,5.10 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 home,Not available,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Certified,“Factory certified refurbished item in HP sealed box and comes with 2 year Allstate Warranty (valid ...  Read moreabout the seller notes“Factory certified refurbished item in HP sealed box and comes with 2 year Allstate Warranty (valid in USA only).” Read Lessabout the seller notes ,$949.47 
2695,85264983563,Dell,Intel Core i7 8th Gen.,15.6 in,Unknown,512 GB,512 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,512 gb,SSD,Wi-Fi,Excellent,“Fully tested great condition one year warranty”,$329.99 
2698,85264983566,Samsung,Qualcomm Snapdragon 7c Gen 2,14 in,Silver,4 GB,64 gb,Qualcomm,2.55 GHz,Notebook/Laptop,1920 x 1080,samsung,windows 10,64 gb,SSD,Built-in Microphone,Not Available,No note from seller,$159.00 
2702,85264983570,Dell,Intel Quad i7-6920HQ @2.90GHz,15.6 in,Black,16 GB,512 gb,NVIDIA,2.70 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,512 gb,SSD,Touchscreen,Used,"“Pre-owner Dell Precision 7510 Mobile Workstation Touchscreen 15.6"" Intel Quad Core i7-6820HQ ...  Read moreabout the seller notes“Pre-owner Dell Precision 7510 Mobile Workstation Touchscreen 15.6"" Intel Quad Core i7-6820HQ @2.70GHz, 16GB memory, 512GB SSD, 2GB Nvidia Quadro M1000M 1920 x 1080 resolution, come genuine 180 Watt A/C power adapter & battery, fully tested and functional. Loaded windows 11 Pro 64bit.” Read Lessabout the seller notes ",$224.95 
2704,85264983572,Lenovo,Intel Core i7 12th Gen.,16.0 in,Gray,16 GB,512 gb,Intel,4.70 GHz,Notebook/Laptop,2560 x 1600,not available,windows 11,512 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi, Fingerprint Reader, Webcam Kill Switch",Used,"“This laptop has been ""CERTIFIED FACTORY REFURBISHED"" by LENOVO direct (not by 3rd party) to BRAND ...  Read moreabout the seller notes“This laptop has been ""CERTIFIED FACTORY REFURBISHED"" by LENOVO direct (not by 3rd party) to BRAND NEW condition and is backed by a Lenovo Factory Warranty. Looks just ""Like New"" Sealed in a LENOVO box. LENOVO warranty card. All original accessories included! You wont see a difference. SAVE BIG!!!” Read Lessabout the seller notes ",$616.40 
2705,85264983573,Chuwi,intel N100,10.5 in,Gray,12 GB,512 gb,Intel,3.40 GHz,Notebook/Laptop,1920 x 1200,chuwi,windows 11 home,512 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Wi-Fi",New,No note from seller,$323.99 to $344.99
